N_1._tr|B4IC01|B4IC01_DROSE	GO:0003723	GO:0003723
N_1759._sp|Q24656|MLC1_DROSE	GO:0005509
N_1760._tr|B4IHN9|B4IHN9_DROSE	GO:0004722
N_1761._tr|B4HRX1|B4HRX1_DROSE	
N_1762._tr|B4I4X0|B4I4X0_DROSE	
N_1763._tr|B4IDE6|B4IDE6_DROSE	GO:0005549
N_1764._tr|B4IKN1|B4IKN1_DROSE	GO:0016791
N_1765._tr|B4IED1|B4IED1_DROSE	GO:0009190	GO:0035556
N_1766._tr|B4HL34|B4HL34_DROSE	
N_1767._tr|B4HNY3|B4HNY3_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_1768._tr|B4HHF5|B4HHF5_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_1769._tr|B4IEK9|B4IEK9_DROSE	
N_1770._tr|B4HLJ4|B4HLJ4_DROSE	
N_1771._tr|B4ID28|B4ID28_DROSE	
N_1772._tr|B4I3S7|B4I3S7_DROSE	GO:0006368	GO:0016570	GO:0016593
N_1773._tr|B4I9P8|B4I9P8_DROSE	GO:0004616	GO:0006098	GO:0050661	GO:0051287
N_1774._tr|B4IF52|B4IF52_DROSE	GO:0051287	GO:0070403	GO:0006631	GO:0016491	GO:0016616	GO:0006631
N_1775._tr|B4I538|B4I538_DROSE	
N_1776._tr|B2ZIC6|B2ZIC6_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_1777._tr|B4HHI4|B4HHI4_DROSE	GO:0005515	GO:0005515	GO:0005515
N_1778._tr|B4I014|B4I014_DROSE	
N_1779._tr|B4HMA7|B4HMA7_DROSE	GO:0004252	GO:0006508
N_1780._tr|B4HJM2|B4HJM2_DROSE	GO:0003854	GO:0016616	GO:0006694
N_1781._tr|B4HKP7|B4HKP7_DROSE	
N_1782._tr|B4HG53|B4HG53_DROSE	GO:0004725	GO:0006470	GO:0008138	GO:0016311	GO:0005515	GO:0003993	GO:0046872	GO:0004721
N_1783._tr|B4I5C0|B4I5C0_DROSE	
N_1784._tr|B4INI1|B4INI1_DROSE	
N_1785._tr|B4I5W9|B4I5W9_DROSE	GO:0016757
N_1786._tr|B4HJF5|B4HJF5_DROSE	
N_1787._tr|B4IHG3|B4IHG3_DROSE	
N_1788._tr|B4IBS1|B4IBS1_DROSE	
N_1789._tr|B4IE18|B4IE18_DROSE	
N_1790._tr|Q9MGM0|Q9MGM0_DROSE	GO:0004129	GO:0016020
N_1791._tr|B4I192|B4I192_DROSE	GO:0004252	GO:0006508
N_1792._tr|B4I3L0|B4I3L0_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_1793._tr|B4IH69|B4IH69_DROSE	GO:0004222	GO:0008270	GO:0006508	GO:0031012
N_1794._tr|B4HDX7|B4HDX7_DROSE	GO:0003755
N_1795._tr|B4I1W6|B4I1W6_DROSE	GO:0006886	GO:0016192
N_1796._tr|B4IPS1|B4IPS1_DROSE	GO:0016491
N_1797._tr|B4IKT0|B4IKT0_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_1798._tr|B4HU15|B4HU15_DROSE	
N_1799._tr|B4IL37|B4IL37_DROSE	
N_1800._sp|B4HSS0|OST4_DROSE	
N_1801._tr|B4IJM0|B4IJM0_DROSE	
N_1802._tr|B4HK60|B4HK60_DROSE	GO:0008745	GO:0009253
N_1803._tr|B4I8H3|B4I8H3_DROSE	GO:0004367	GO:0005975	GO:0016616	GO:0051287	GO:0046168
N_1804._tr|B4HLS6|B4HLS6_DROSE	
N_1805._tr|B4I2J0|B4I2J0_DROSE	
N_1806._tr|B4I4A7|B4I4A7_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_1807._tr|B4IEM2|B4IEM2_DROSE	GO:0005524
N_1808._tr|B4HKY4|B4HKY4_DROSE	GO:0008270	GO:0005634
N_1809._tr|B4IN75|B4IN75_DROSE	
N_1810._tr|B4I2H7|B4I2H7_DROSE	GO:0004252	GO:0006508
N_1811._tr|B4HXD7|B4HXD7_DROSE	
N_1812._tr|B4HF22|B4HF22_DROSE	GO:0008061	GO:0005576
N_1813._tr|B4I0I4|B4I0I4_DROSE	
N_1814._tr|B4HR34|B4HR34_DROSE	GO:0005509	GO:0016491	GO:0016491	GO:0005509
N_1815._tr|B4HIC3|B4HIC3_DROSE	
N_1816._tr|B4IBB2|B4IBB2_DROSE	GO:0005525
N_1817._tr|B4IFK0|B4IFK0_DROSE	
N_1818._tr|B4IDA3|B4IDA3_DROSE	
N_1819._tr|B4I6Q6|B4I6Q6_DROSE	GO:0001700	GO:0007259
N_1820._tr|B4IA14|B4IA14_DROSE	
N_1821._tr|B4IJC7|B4IJC7_DROSE	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525
N_1822._tr|B4HVK0|B4HVK0_DROSE	GO:0003676	GO:0005634
N_1823._tr|B4I610|B4I610_DROSE	GO:0005524	GO:0016887	GO:0005524	GO:0016887
N_1824._tr|B4IG23|B4IG23_DROSE	GO:0008146	GO:0016021
N_1825._tr|B4I5N4|B4I5N4_DROSE	
N_1826._tr|B4IJ92|B4IJ92_DROSE	
N_1827._tr|B4IG27|B4IG27_DROSE	
N_1828._tr|Q9U4W0|Q9U4W0_DROSE	GO:0005524	GO:0005524	GO:0016887
N_1829._tr|B4I646|B4I646_DROSE	
N_1830._tr|B4HN68|B4HN68_DROSE	GO:0006506	GO:0016757
N_1831._tr|B4HJV4|B4HJV4_DROSE	GO:0008080
N_1832._tr|B4IE01|B4IE01_DROSE	GO:0015276	GO:0016020
N_1833._tr|A0A8F4TKI7|A0A8F4TKI7_DROSE	
N_1834._tr|B4ILV4|B4ILV4_DROSE	GO:0008380	GO:0005681
N_1835._tr|B4IL90|B4IL90_DROSE	GO:0009058
N_1836._tr|B4HFI9|B4HFI9_DROSE	
N_1837._tr|B4I2K3|B4I2K3_DROSE	GO:0016298	GO:0009058
N_1838._tr|B4IHC4|B4IHC4_DROSE	GO:0003774	GO:0005524	GO:0016459	GO:0003774	GO:0005524	GO:0016459	GO:0016459
N_1839._tr|B4HYD1|B4HYD1_DROSE	GO:0008080	GO:0016747	GO:0008080	GO:0008080
N_1840._tr|B4HUL4|B4HUL4_DROSE	
N_1841._tr|B4HI18|B4HI18_DROSE	
N_1842._tr|B4IF64|B4IF64_DROSE	GO:0003723	GO:0003723
N_1843._tr|B4I0A3|B4I0A3_DROSE	
N_1844._tr|B4IG21|B4IG21_DROSE	GO:0008146	GO:0016021
N_1845._tr|B4IEU3|B4IEU3_DROSE	GO:0007186	GO:0035556
N_1846._tr|B4HKM4|B4HKM4_DROSE	GO:0008745	GO:0009253
N_1847._tr|B4I5C2|B4I5C2_DROSE	
N_1848._tr|B4HV98|B4HV98_DROSE	GO:0043015
N_1849._tr|B4HJS2|B4HJS2_DROSE	GO:0008201	GO:0050750	GO:0005783
N_1850._tr|B4IK02|B4IK02_DROSE	
N_1851._tr|B4I7C7|B4I7C7_DROSE	GO:0005643
N_1852._tr|B4HQE5|B4HQE5_DROSE	
N_1853._tr|B4HV70|B4HV70_DROSE	GO:0004252	GO:0006508
N_1854._tr|B4HU47|B4HU47_DROSE	
N_1855._tr|B4IL34|B4IL34_DROSE	GO:0005506	GO:0009055	GO:0020037	GO:0022900	GO:0042597
N_1856._tr|B4I4U5|B4I4U5_DROSE	
N_1857._tr|B4HGH4|B4HGH4_DROSE	GO:0003723	GO:0003743	GO:0006413
N_1858._tr|B4IAR6|B4IAR6_DROSE	GO:0006123	GO:0005751
N_1859._tr|B4I994|B4I994_DROSE	GO:0006270
N_1860._tr|B4HNC6|B4HNC6_DROSE	GO:0036444	GO:0051560	GO:1990246
N_1861._tr|B4I141|B4I141_DROSE	
N_1862._tr|B4HJH5|B4HJH5_DROSE	
N_1863._tr|B4HZ32|B4HZ32_DROSE	GO:0004656	GO:0005783
N_1864._tr|B4HYW9|B4HYW9_DROSE	GO:0051260	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_1865._tr|B4I849|B4I849_DROSE	GO:0005272	GO:0006814	GO:0016020
N_1866._tr|B4HZR5|B4HZR5_DROSE	GO:0004252	GO:0006508
N_1867._tr|B4I2Z1|B4I2Z1_DROSE	GO:0019211
N_1868._tr|B4HM19|B4HM19_DROSE	
N_1869._tr|B4I1Z3|B4I1Z3_DROSE	
N_1870._tr|B4HGW9|B4HGW9_DROSE	GO:0005737
N_1871._tr|B4I3I0|B4I3I0_DROSE	
N_1872._tr|B4HEQ5|B4HEQ5_DROSE	GO:0005085	GO:0032012
N_1873._tr|B4HLS4|B4HLS4_DROSE	GO:0008080	GO:0016747	GO:0008080	GO:0008080
N_1874._tr|B4HS54|B4HS54_DROSE	GO:0046961
N_1875._tr|B4IJE8|B4IJE8_DROSE	
N_1876._tr|B4I7L8|B4I7L8_DROSE	GO:0016757	GO:0006486	GO:0016757
N_1877._tr|B4HXC8|B4HXC8_DROSE	
N_1878._tr|B4IN11|B4IN11_DROSE	
N_1879._tr|B4HYM6|B4HYM6_DROSE	GO:0003677	GO:0003682	GO:0000775	GO:0008270	GO:0005634
N_1880._tr|B4HS32|B4HS32_DROSE	GO:0005515	GO:0007165
N_1881._tr|B4HII3|B4HII3_DROSE	
N_1882._tr|B4I2P5|B4I2P5_DROSE	GO:0008168
N_1883._tr|B4I0H4|B4I0H4_DROSE	
N_1884._tr|B4HLE7|B4HLE7_DROSE	
N_1885._tr|B4HG39|B4HG39_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_1886._tr|B4HMH7|B4HMH7_DROSE	GO:0003824
N_1887._tr|B4HK77|B4HK77_DROSE	GO:0006511	GO:0007275	GO:0005737
N_1888._tr|B4HWN5|B4HWN5_DROSE	
N_1889._tr|B4HIZ2|B4HIZ2_DROSE	
N_1890._tr|B4IAC3|B4IAC3_DROSE	GO:0055085	GO:0016020	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_1891._tr|B4I690|B4I690_DROSE	GO:0007165	GO:0005515	GO:0005515
N_1892._tr|B4HSI5|B4HSI5_DROSE	
N_1893._tr|B4HLV9|B4HLV9_DROSE	GO:0007064	GO:0031390
N_1894._tr|B4HSH8|B4HSH8_DROSE	
N_1895._tr|B4HLR6|B4HLR6_DROSE	
N_1896._tr|B4HJA0|B4HJA0_DROSE	
N_1897._tr|B4HVF5|B4HVF5_DROSE	GO:0004725	GO:0006470	GO:0008138	GO:0016311	GO:0005515
N_1898._tr|B4HUR1|B4HUR1_DROSE	
N_1899._tr|B4HEF4|B4HEF4_DROSE	GO:0005515
N_1900._tr|B4HZQ4|B4HZQ4_DROSE	GO:0003735	GO:0006412	GO:0005840
N_1901._tr|B4IK94|B4IK94_DROSE	GO:0003676	GO:0008270	GO:0006351	GO:0006351
N_1902._tr|B4HM82|B4HM82_DROSE	
N_1903._tr|B4HYM4|B4HYM4_DROSE	
N_1904._tr|B4HXG8|B4HXG8_DROSE	GO:0005272	GO:0006814	GO:0016020
N_1905._tr|B4I6H2|B4I6H2_DROSE	GO:0005525	GO:0003924	GO:0005525	GO:0005525
N_1906._tr|B4IMC4|B4IMC4_DROSE	GO:0003677
N_1907._tr|B4I367|B4I367_DROSE	
N_1908._tr|B4HDU7|B4HDU7_DROSE	GO:0004519	GO:0006364	GO:0090730
N_1909._tr|B4HI84|B4HI84_DROSE	
N_1910._tr|B4I853|B4I853_DROSE	GO:0016787	GO:0003824
N_1911._tr|B4IFI8|B4IFI8_DROSE	GO:0003677	GO:0006284
N_1912._tr|B4HLC7|B4HLC7_DROSE	
N_1913._tr|B4HVX0|B4HVX0_DROSE	
N_1914._tr|B4IEB0|B4IEB0_DROSE	GO:0003700	GO:0006355	GO:0003677
N_1915._tr|B4ID99|B4ID99_DROSE	
N_1916._tr|B4HGE7|B4HGE7_DROSE	
N_1917._tr|B4IIM2|B4IIM2_DROSE	GO:0005634
N_1918._tr|B4I293|B4I293_DROSE	
N_1919._tr|B4IIQ1|B4IIQ1_DROSE	GO:0046983
N_1920._tr|B4IFN3|B4IFN3_DROSE	GO:0050909	GO:0016021
N_1921._tr|B4HUE2|B4HUE2_DROSE	GO:0004518	GO:0004518
N_1922._tr|B4IC41|B4IC41_DROSE	
N_1923._tr|B4HT27|B4HT27_DROSE	
N_1924._tr|B4HIE1|B4HIE1_DROSE	GO:0008194
N_1925._tr|Q2HWU7|Q2HWU7_DROSE	GO:0005549
N_1926._tr|B4I5K1|B4I5K1_DROSE	GO:0005515
N_1927._tr|B4HGU9|B4HGU9_DROSE	GO:0006629
N_1928._tr|B4HRK6|B4HRK6_DROSE	GO:0005515
N_1929._tr|B4IMH5|B4IMH5_DROSE	GO:0004930	GO:0016020
N_1930._tr|B4HE91|B4HE91_DROSE	GO:0005515
N_1931._tr|B4HRH8|B4HRH8_DROSE	GO:0046983	GO:0003677	GO:0006355	GO:0006367	GO:0005672
N_1932._sp|B4I5W3|CTU2_DROSE	GO:0000049	GO:0002098	GO:0034227
N_1933._tr|B4HWL8|B4HWL8_DROSE	GO:0008234	GO:0006508
N_1934._tr|B4HR84|B4HR84_DROSE	
N_1935._tr|B4IEY3|B4IEY3_DROSE	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_1936._tr|B4HLB8|B4HLB8_DROSE	GO:0008484
N_1937._tr|B4I055|B4I055_DROSE	
N_1938._tr|B4I6W0|B4I6W0_DROSE	GO:0004930	GO:0007186	GO:0016021
N_1939._tr|B4HGA9|B4HGA9_DROSE	GO:0005515	GO:0005515	GO:0005515
N_1940._tr|B4IKY0|B4IKY0_DROSE	GO:0006511	GO:0007275	GO:0005737
N_1941._tr|B4HW39|B4HW39_DROSE	
N_1942._tr|B4HQ78|B4HQ78_DROSE	GO:0030246
N_1943._tr|B4HSG0|B4HSG0_DROSE	GO:0005509	GO:0005509	GO:0016491	GO:0005509	GO:0005509	GO:0005509
N_1944._tr|B4HPM7|B4HPM7_DROSE	GO:0008484
N_1945._tr|B4IC85|B4IC85_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_1946._tr|B4IG65|B4IG65_DROSE	
N_1947._tr|B4HTZ6|B4HTZ6_DROSE	GO:0004252	GO:0006508
N_1948._tr|B4HH88|B4HH88_DROSE	GO:0005515	GO:0004222	GO:0006508
N_1949._tr|B4HKD8|B4HKD8_DROSE	GO:0004559	GO:0006013	GO:0004559	GO:0006013	GO:0004559	GO:0006013
N_1950._tr|B4HU78|B4HU78_DROSE	
N_1951._tr|B4HY21|B4HY21_DROSE	
N_1952._tr|B4I7P0|B4I7P0_DROSE	
N_1953._tr|B4IML9|B4IML9_DROSE	GO:0005515
N_1954._tr|B4ICD1|B4ICD1_DROSE	GO:0005509	GO:0005515
N_1955._tr|B4HPS4|B4HPS4_DROSE	GO:0005549
N_1956._tr|B4HGH5|B4HGH5_DROSE	GO:0003684	GO:0006289	GO:0043161	GO:0005515
N_1957._tr|B4IAA9|B4IAA9_DROSE	
N_1958._tr|B4HJN1|B4HJN1_DROSE	GO:0016020
N_1959._tr|B4IG12|B4IG12_DROSE	GO:0016491
N_1960._tr|B4HIG2|B4HIG2_DROSE	GO:0003676
N_1961._tr|B4IIU4|B4IIU4_DROSE	
N_1962._tr|B4HKP3|B4HKP3_DROSE	
N_1963._tr|B4IG22|B4IG22_DROSE	GO:0008146	GO:0016021
N_1964._tr|B4IDL9|B4IDL9_DROSE	
N_1965._tr|B4I5M5|B4I5M5_DROSE	GO:0008168	GO:0008176	GO:0006400
N_1966._tr|B4II65|B4II65_DROSE	GO:0008484
N_1967._tr|B4IK25|B4IK25_DROSE	GO:0016020
N_1968._tr|B4HLL5|B4HLL5_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_1969._tr|B4IAB5|B4IAB5_DROSE	GO:0006629
N_1970._tr|B4IH58|B4IH58_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_1971._tr|B4I2L6|B4I2L6_DROSE	GO:0005515
N_1972._tr|B4IQ64|B4IQ64_DROSE	GO:0003677	GO:0006352	GO:0005669
N_1973._tr|B4I458|B4I458_DROSE	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_1974._tr|B4HTA8|B4HTA8_DROSE	GO:0003796
N_1975._tr|B4I8W6|B4I8W6_DROSE	GO:0005515
N_1976._tr|B4IDN0|B4IDN0_DROSE	GO:0015986
N_1977._tr|B4IK50|B4IK50_DROSE	
N_1978._tr|B4HJI8|B4HJI8_DROSE	
N_1979._tr|B4I9X0|B4I9X0_DROSE	
N_1980._tr|B4I7Z2|B4I7Z2_DROSE	
N_1981._tr|B4HGV7|B4HGV7_DROSE	GO:0046034	GO:1902600	GO:0005524
N_1982._tr|B4I210|B4I210_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_1983._tr|B4IL83|B4IL83_DROSE	
N_1984._tr|B4HT42|B4HT42_DROSE	
N_1985._tr|B4I9Z2|B4I9Z2_DROSE	GO:0043130
N_1986._tr|B4I390|B4I390_DROSE	
N_1987._tr|B4HJV8|B4HJV8_DROSE	
N_1988._tr|B4HHN3|B4HHN3_DROSE	GO:0008061	GO:0005576
N_1989._tr|B4I7N5|B4I7N5_DROSE	GO:0003735	GO:0006412	GO:0005840
N_1990._tr|B4INT4|B4INT4_DROSE	
N_1991._tr|B4IQJ0|B4IQJ0_DROSE	GO:0004017
N_1992._tr|B4I5G4|B4I5G4_DROSE	
N_1993._tr|B4HZ73|B4HZ73_DROSE	GO:0003924	GO:0005525	GO:0005524	GO:0140664	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005525	GO:0005524	GO:0016887
N_1994._tr|A0A8F4TKN4|A0A8F4TKN4_DROSE	GO:0004129	GO:0020037	GO:0009060	GO:0016021
N_1995._tr|B4HKY2|B4HKY2_DROSE	
N_1996._tr|B4HMM2|B4HMM2_DROSE	
N_1997._tr|B4HEE3|B4HEE3_DROSE	GO:0015078	GO:1902600	GO:0033177
N_1998._tr|B4HQZ5|B4HQZ5_DROSE	GO:0005515
N_1999._tr|B4IL55|B4IL55_DROSE	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_2000._tr|B4IFA2|B4IFA2_DROSE	
N_2001._tr|B4HIX0|B4HIX0_DROSE	
N_2002._tr|B4I1Z7|B4I1Z7_DROSE	
N_2003._tr|B4IGM0|B4IGM0_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2004._tr|B4IHL2|B4IHL2_DROSE	
N_2005._tr|B4HWZ0|B4HWZ0_DROSE	
N_2006._sp|B4I3P3|EIF3A_DROSE	
N_2007._tr|B4HV48|B4HV48_DROSE	
N_2008._tr|B4HTG6|B4HTG6_DROSE	
N_2009._tr|B4HXX8|B4HXX8_DROSE	
N_2010._tr|B4HYZ9|B4HYZ9_DROSE	
N_2011._tr|B4I6L0|B4I6L0_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2012._tr|B4HWH0|B4HWH0_DROSE	GO:0035091
N_2013._tr|B4HG13|B4HG13_DROSE	
N_2014._tr|B4IKQ5|B4IKQ5_DROSE	GO:0005515
N_2015._tr|B4IF10|B4IF10_DROSE	GO:0003677
N_2016._tr|B4HUR9|B4HUR9_DROSE	GO:0008270	GO:0005634
N_2017._tr|B4I977|B4I977_DROSE	GO:0006334	GO:0005634
N_2018._tr|B4II75|B4II75_DROSE	GO:0003723	GO:0003723
N_2019._tr|B4IPT1|B4IPT1_DROSE	
N_2020._tr|B4I170|B4I170_DROSE	GO:0000166	GO:0004813	GO:0005524	GO:0006419	GO:0004812	GO:0005524	GO:0043039
N_2021._tr|B4HXB3|B4HXB3_DROSE	
N_2022._tr|B4HVF7|B4HVF7_DROSE	GO:0016779	GO:0008270
N_2023._tr|B4IKF9|B4IKF9_DROSE	GO:0006811	GO:0016021	GO:0005230	GO:0006811	GO:0016021
N_2024._tr|B4HTQ1|B4HTQ1_DROSE	GO:0008200	GO:0019871	GO:0005576
N_2025._tr|B4IG48|B4IG48_DROSE	GO:0003910	GO:0005524	GO:0006281	GO:0006310	GO:0003677	GO:0003910	GO:0006281	GO:0006310	GO:0003910	GO:0006281	GO:0006310
N_2026._tr|B4HIM9|B4HIM9_DROSE	GO:0016787
N_2027._tr|B4IIJ6|B4IIJ6_DROSE	
N_2028._tr|B4HYF9|B4HYF9_DROSE	GO:0005975
N_2029._tr|B4HFX6|B4HFX6_DROSE	GO:0003839	GO:0006751
N_2030._tr|B4IJ09|B4IJ09_DROSE	
N_2031._tr|B4IGS7|B4IGS7_DROSE	GO:0005515	GO:0006749
N_2032._tr|B4HSG8|B4HSG8_DROSE	
N_2033._tr|B4I455|B4I455_DROSE	GO:0005515
N_2034._tr|B4IJC6|B4IJC6_DROSE	GO:0005515
N_2035._tr|B4HW83|B4HW83_DROSE	GO:0015018	GO:0016020
N_2036._tr|B4HK24|B4HK24_DROSE	GO:0016459
N_2037._tr|B4IEV5|B4IEV5_DROSE	
N_2038._tr|B4I2G7|B4I2G7_DROSE	GO:0070273
N_2039._tr|B4HM65|B4HM65_DROSE	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_2040._tr|B4HMQ9|B4HMQ9_DROSE	GO:0005509	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_2041._tr|B4I5C7|B4I5C7_DROSE	
N_2042._tr|B4IBC9|B4IBC9_DROSE	
N_2043._tr|B4I5Y6|B4I5Y6_DROSE	
N_2044._tr|B4ICS1|B4ICS1_DROSE	
N_2045._tr|B4HZL7|B4HZL7_DROSE	GO:0001682	GO:0030677
N_2046._tr|B4IIU6|B4IIU6_DROSE	GO:0005509	GO:0007156	GO:0016020
N_2047._tr|B4I7I9|B4I7I9_DROSE	GO:0005975	GO:0008061	GO:0005576
N_2048._tr|B4IP98|B4IP98_DROSE	GO:0003677
N_2049._tr|B4IQ75|B4IQ75_DROSE	
N_2050._tr|B4I5H8|B4I5H8_DROSE	GO:0046983
N_2051._tr|B4IF93|B4IF93_DROSE	GO:0016787
N_2052._tr|B4IG64|B4IG64_DROSE	
N_2053._tr|B4IJ19|B4IJ19_DROSE	
N_2054._tr|B4HXT5|B4HXT5_DROSE	GO:0008146
N_2055._tr|B4IB55|B4IB55_DROSE	
N_2056._tr|B4I0G3|B4I0G3_DROSE	
N_2057._tr|B4HP30|B4HP30_DROSE	GO:0000398
N_2058._tr|B4IIL2|B4IIL2_DROSE	
N_2059._tr|B4IAF4|B4IAF4_DROSE	GO:0005515
N_2060._tr|B4ING9|B4ING9_DROSE	GO:0004672	GO:0005524	GO:0006468
N_2061._tr|B4HFE4|B4HFE4_DROSE	GO:0015078	GO:0015986	GO:0000276
N_2062._tr|B4HGG9|B4HGG9_DROSE	
N_2063._tr|B4IHY8|B4IHY8_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_2064._tr|B4IJU1|B4IJU1_DROSE	GO:0004252	GO:0006508	GO:0005515	GO:0005515
N_2065._tr|B4I3Z8|B4I3Z8_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_2066._tr|B4II70|B4II70_DROSE	
N_2067._tr|B4I718|B4I718_DROSE	
N_2068._tr|B4IDU6|B4IDU6_DROSE	GO:0005975
N_2069._tr|B4HEZ3|B4HEZ3_DROSE	GO:0008483	GO:0030170	GO:0030170	GO:0019346	GO:0030170	GO:0009058
N_2070._tr|B4I3D5|B4I3D5_DROSE	
N_2071._tr|B4HP57|B4HP57_DROSE	GO:0003676	GO:0016787	GO:0046872
N_2072._tr|B4INB0|B4INB0_DROSE	GO:0016298
N_2073._tr|B4HKN0|B4HKN0_DROSE	
N_2074._tr|B4HT66|B4HT66_DROSE	GO:0003854	GO:0016616	GO:0006694
N_2075._tr|B4IE51|B4IE51_DROSE	
N_2076._tr|B4ICE0|B4ICE0_DROSE	GO:0005509	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_2077._tr|B4HIX4|B4HIX4_DROSE	
N_2078._tr|B4HQX9|B4HQX9_DROSE	GO:0007165
N_2079._tr|B4HGL5|B4HGL5_DROSE	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_2080._tr|B4HX55|B4HX55_DROSE	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_2081._tr|B4HZV8|B4HZV8_DROSE	
N_2082._tr|B4IJ24|B4IJ24_DROSE	GO:0048487	GO:0007021	GO:0007023
N_2083._tr|B4IDL4|B4IDL4_DROSE	GO:0008061	GO:0005576
N_2084._tr|B4I2C8|B4I2C8_DROSE	
N_2085._tr|B4HET3|B4HET3_DROSE	GO:0004525	GO:0006396	GO:0004525	GO:0006396	GO:0005515
N_2086._tr|B4I9C4|B4I9C4_DROSE	
N_2087._tr|B4HWY0|B4HWY0_DROSE	
N_2088._tr|B4HPD0|B4HPD0_DROSE	
N_2089._tr|B4HYI8|B4HYI8_DROSE	GO:0030431	GO:0032222	GO:1903818
N_2090._tr|B4HFJ2|B4HFJ2_DROSE	GO:0007165
N_2091._tr|B4IAG3|B4IAG3_DROSE	
N_2092._tr|B4I777|B4I777_DROSE	
N_2093._tr|B4HRZ7|B4HRZ7_DROSE	
N_2094._tr|B4IEH7|B4IEH7_DROSE	GO:0006511	GO:0019773	GO:0051603	GO:0005839
N_2095._tr|B4HMI0|B4HMI0_DROSE	GO:0005085
N_2096._tr|B4HHY5|B4HHY5_DROSE	
N_2097._tr|B4IA01|B4IA01_DROSE	GO:0016021
N_2098._tr|B4IK86|B4IK86_DROSE	
N_2099._tr|B4HN62|B4HN62_DROSE	
N_2100._tr|B4IAI5|B4IAI5_DROSE	GO:0004181	GO:0008270	GO:0006508
N_2101._tr|B4HL60|B4HL60_DROSE	
N_2102._tr|B4HVH8|B4HVH8_DROSE	GO:0003854	GO:0016616	GO:0006694
N_2103._tr|Q94961|Q94961_DROSE	
N_2104._tr|B4I5U4|B4I5U4_DROSE	
N_2105._tr|B4IDX3|B4IDX3_DROSE	
N_2106._tr|B4IBL8|B4IBL8_DROSE	GO:0004252	GO:0006508
N_2107._tr|B4I1T8|B4I1T8_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2108._tr|B4HSQ4|B4HSQ4_DROSE	GO:0004674	GO:0005524	GO:0006468	GO:0007165	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2109._tr|A0A0A7KX47|A0A0A7KX47_DROSE	
N_2110._tr|B4HHB0|B4HHB0_DROSE	
N_2111._tr|B4IQA2|B4IQA2_DROSE	
N_2112._tr|B4IB88|B4IB88_DROSE	GO:0003690	GO:0006355
N_2113._tr|B4I741|B4I741_DROSE	GO:0022857	GO:0055085
N_2114._tr|B4ICJ9|B4ICJ9_DROSE	
N_2115._tr|B4HW18|B4HW18_DROSE	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_2116._tr|B4I1E2|B4I1E2_DROSE	GO:0016298
N_2117._tr|B4I0B3|B4I0B3_DROSE	GO:0046912
N_2118._tr|B4IIJ5|B4IIJ5_DROSE	
N_2119._tr|B4HZK2|B4HZK2_DROSE	GO:0003735	GO:0006412	GO:0005840
N_2120._tr|B4HPZ2|B4HPZ2_DROSE	
N_2121._tr|B4HL79|B4HL79_DROSE	GO:0003723	GO:0003723
N_2122._tr|B4IDX9|B4IDX9_DROSE	GO:0016787	GO:0009166
N_2123._tr|B4IEP2|B4IEP2_DROSE	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
