N_1._tr|A0A0J9RCZ1|A0A0J9RCZ1_DROSI	
N_2139._tr|A0ZWX8|A0ZWX8_DROSI	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_2140._tr|B4R7Q9|B4R7Q9_DROSI	
N_2141._tr|A5XCS7|A5XCS7_DROSI	GO:0004555	GO:0005991
N_2142._tr|B4QVR4|B4QVR4_DROSI	
N_2143._tr|A0A2Z5VGM7|A0A2Z5VGM7_DROSI	GO:0004803	GO:0006313
N_2144._tr|B4QBC8|B4QBC8_DROSI	GO:0005515	GO:0005515	GO:0005515
N_2145._tr|A0A0J9RUK3|A0A0J9RUK3_DROSI	GO:0003723
N_2146._tr|A0A0J9QVS5|A0A0J9QVS5_DROSI	
N_2147._tr|A0A0J9RXT5|A0A0J9RXT5_DROSI	GO:0004252	GO:0006508
N_2148._tr|Q3YMT9|Q3YMT9_DROSI	GO:0016491	GO:0016209	GO:0016491
N_2149._tr|B4Q688|B4Q688_DROSI	GO:0003677
N_2150._tr|Q1WKX0|Q1WKX0_DROSI	
N_2151._tr|A0A3S6AL14|A0A3S6AL14_DROSI	GO:0022857	GO:0055085	GO:0016020
N_2152._tr|B4QX71|B4QX71_DROSI	GO:0008270	GO:0009056
N_2153._tr|A0A0J9RUL1|A0A0J9RUL1_DROSI	GO:0005515
N_2154._tr|Q6V1U0|Q6V1U0_DROSI	GO:0003677	GO:0003700	GO:0006355
N_2155._tr|A0A0J9RCQ4|A0A0J9RCQ4_DROSI	
N_2156._tr|Q2UXP0|Q2UXP0_DROSI	
N_2157._tr|A0A3Q7YLH4|A0A3Q7YLH4_DROSI	GO:0004555	GO:0005991
N_2158._tr|A0A0J9REJ1|A0A0J9REJ1_DROSI	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2159._tr|B4Q9P2|B4Q9P2_DROSI	GO:0004867
N_2160._tr|Q9U4Q0|Q9U4Q0_DROSI	
N_2161._tr|B4R2T5|B4R2T5_DROSI	
N_2162._tr|B4R024|B4R024_DROSI	
N_2163._tr|B4QN41|B4QN41_DROSI	
N_2164._tr|A0A0J9R0G8|A0A0J9R0G8_DROSI	GO:0003677
N_2165._tr|B4R1A0|B4R1A0_DROSI	GO:0003735	GO:0006412	GO:0005840
N_2166._tr|B4QII6|B4QII6_DROSI	
N_2167._tr|Q4FDW6|Q4FDW6_DROSI	
N_2168._tr|B4NTE5|B4NTE5_DROSI	
N_2169._tr|B4R154|B4R154_DROSI	GO:0005509	GO:0005544
N_2170._tr|C0KG84|C0KG84_DROSI	
N_2171._tr|B4Q725|B4Q725_DROSI	
N_2172._tr|A0A0J9R628|A0A0J9R628_DROSI	
N_2173._tr|A0A0J9RF75|A0A0J9RF75_DROSI	
N_2174._tr|B4QZ38|B4QZ38_DROSI	GO:0005515
N_2175._tr|B4QM21|B4QM21_DROSI	GO:0004252	GO:0016021	GO:0005509	GO:0005509
N_2176._tr|B4QA23|B4QA23_DROSI	
N_2177._tr|Q333R1|Q333R1_DROSI	GO:0008417	GO:0006486	GO:0016020
N_2178._tr|B4QF99|B4QF99_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_2179._tr|B4QKD6|B4QKD6_DROSI	
N_2180._tr|B4QFZ9|B4QFZ9_DROSI	GO:0008194
N_2181._tr|A0A0J9R5V6|A0A0J9R5V6_DROSI	GO:0005515
N_2182._tr|B4NVR5|B4NVR5_DROSI	GO:0015078	GO:0015986	GO:0000276
N_2183._tr|A0A0J9RHE3|A0A0J9RHE3_DROSI	GO:0005975	GO:0008061	GO:0005576
N_2184._tr|B4Q661|B4Q661_DROSI	GO:0003677
N_2185._tr|B4Q593|B4Q593_DROSI	
N_2186._tr|B4QD07|B4QD07_DROSI	GO:0008418
N_2187._tr|A0A0J9RT49|A0A0J9RT49_DROSI	GO:0009966	GO:0046658	GO:0062023
N_2188._tr|B4Q683|B4Q683_DROSI	
N_2189._tr|A0A0J9R7U4|A0A0J9R7U4_DROSI	GO:0008195
N_2190._tr|B4QW80|B4QW80_DROSI	
N_2191._tr|I7C5N6|I7C5N6_DROSI	GO:0015074
N_2192._tr|B4QV25|B4QV25_DROSI	GO:0005515
N_2193._tr|B4QMM4|B4QMM4_DROSI	
N_2194._tr|A0A0J9R769|A0A0J9R769_DROSI	GO:0005515	GO:0008270
N_2195._tr|D7F9K7|D7F9K7_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_2196._tr|A0A0J9U521|A0A0J9U521_DROSI	GO:0008061	GO:0005576
N_2197._tr|D7F8N6|D7F8N6_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_2198._tr|Q71TY2|Q71TY2_DROSI	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_2199._tr|A0A0J9REI3|A0A0J9REI3_DROSI	GO:0016298
N_2200._tr|A0A0J9R8W5|A0A0J9R8W5_DROSI	
N_2201._tr|B4QP46|B4QP46_DROSI	
N_2202._tr|B4QLL6|B4QLL6_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_2203._tr|B4QB29|B4QB29_DROSI	GO:0004930	GO:0007186	GO:0016021	GO:0008528
N_2204._tr|B4R2M1|B4R2M1_DROSI	
N_2205._tr|B4QJ66|B4QJ66_DROSI	
N_2206._tr|A0A0J9R6Y0|A0A0J9R6Y0_DROSI	
N_2207._tr|A0A0J9RFZ0|A0A0J9RFZ0_DROSI	GO:0005085	GO:0005085	GO:0005737	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_2208._tr|A0A0J9UH86|A0A0J9UH86_DROSI	GO:0007165
N_2209._tr|B4QQN6|B4QQN6_DROSI	
N_2210._tr|B4QHV3|B4QHV3_DROSI	GO:0004518	GO:0034477	GO:0003723
N_2211._tr|B4QQM4|B4QQM4_DROSI	GO:0050909	GO:0016021
N_2212._tr|A0A0J9TUH8|A0A0J9TUH8_DROSI	GO:0005515	GO:0016491	GO:0016209	GO:0016491	GO:0048511
N_2213._tr|A0A0J9RL43|A0A0J9RL43_DROSI	GO:0003723	GO:0004540
N_2214._tr|A0A0J9RE76|A0A0J9RE76_DROSI	
N_2215._tr|Q58S90|Q58S90_DROSI	GO:0005515
N_2216._tr|A0A0J9U2Z1|A0A0J9U2Z1_DROSI	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_2217._tr|B4QYZ1|B4QYZ1_DROSI	GO:0000390	GO:0071008
N_2218._tr|A0A0J9TZK5|A0A0J9TZK5_DROSI	GO:0016787
N_2219._tr|B4QEH4|B4QEH4_DROSI	
N_2220._tr|A0A0J9U0B2|A0A0J9U0B2_DROSI	
N_2221._tr|E5KZ73|E5KZ73_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468	GO:0000287	GO:0004674	GO:0005524	GO:0006468
N_2222._tr|B4QM08|B4QM08_DROSI	GO:0004418	GO:0033014	GO:0004418	GO:0033014
N_2223._tr|F6JH67|F6JH67_DROSI	
N_2224._tr|B4QIU8|B4QIU8_DROSI	
N_2225._tr|A0A0J9RCK3|A0A0J9RCK3_DROSI	GO:0005515	GO:0003723	GO:0005515
N_2226._tr|A0A0J9RDK0|A0A0J9RDK0_DROSI	GO:0004252	GO:0006508
N_2227._tr|A0A0J9QV92|A0A0J9QV92_DROSI	GO:0051260	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_2228._tr|B4QUN0|B4QUN0_DROSI	GO:0090482	GO:0051180	GO:0016021	GO:0022857	GO:0055085
N_2229._tr|A0A0J9RMP1|A0A0J9RMP1_DROSI	
N_2230._tr|A0A0J9RVD2|A0A0J9RVD2_DROSI	
N_2231._tr|B4R1I0|B4R1I0_DROSI	GO:0001682	GO:0030677
N_2232._tr|B4QEH7|B4QEH7_DROSI	GO:0030431	GO:0032222	GO:1903818
N_2233._tr|A0A0J9RDW0|A0A0J9RDW0_DROSI	GO:0008270	GO:0005634
N_2234._tr|B4QUT7|B4QUT7_DROSI	
N_2235._tr|B4Q6I0|B4Q6I0_DROSI	
N_2236._tr|B4QCX3|B4QCX3_DROSI	GO:0004222	GO:0006508	GO:0006508
N_2237._tr|B4QIW5|B4QIW5_DROSI	
N_2238._tr|B4R2K3|B4R2K3_DROSI	GO:0005515	GO:0005515	GO:0005515
N_2239._tr|B4QEQ6|B4QEQ6_DROSI	
N_2240._tr|B4QVA4|B4QVA4_DROSI	
N_2241._tr|A0A0J9R7E9|A0A0J9R7E9_DROSI	GO:0016491
N_2242._tr|A0A0J9RR22|A0A0J9RR22_DROSI	GO:0005085
N_2243._tr|A0A0J9R5I6|A0A0J9R5I6_DROSI	GO:0005085	GO:0032012
N_2244._tr|B4QGF2|B4QGF2_DROSI	
N_2245._tr|B4QBW3|B4QBW3_DROSI	GO:0003924	GO:0005525	GO:0005525
N_2246._tr|B4QSE9|B4QSE9_DROSI	GO:0003723	GO:0005509	GO:0003723	GO:0003924	GO:0005525	GO:0005509	GO:0005509
N_2247._tr|B4QMB7|B4QMB7_DROSI	
N_2248._tr|A0A0J9RT54|A0A0J9RT54_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005216	GO:0006811	GO:0055085	GO:0016020	GO:0005515	GO:0005515
N_2249._tr|A0A0J9RCP8|A0A0J9RCP8_DROSI	GO:0005351	GO:0008643	GO:0016020	GO:0022857	GO:0055085	GO:0005337	GO:0015858	GO:0016021
N_2250._tr|B4QRX5|B4QRX5_DROSI	GO:0016298
N_2251._tr|D7PET9|D7PET9_DROSI	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_2252._tr|A0A0J9RWI4|A0A0J9RWI4_DROSI	GO:0016020
N_2253._tr|B4QU62|B4QU62_DROSI	GO:0005515	GO:0005737	GO:0019904
N_2254._tr|A0A0J9RPD0|A0A0J9RPD0_DROSI	GO:0004672	GO:0005524	GO:0006468
N_2255._tr|B4QTF5|B4QTF5_DROSI	GO:0016591
N_2256._tr|B4QRJ4|B4QRJ4_DROSI	GO:0004620
N_2257._tr|A0A0J9R7S8|A0A0J9R7S8_DROSI	GO:0055085	GO:0016021
N_2258._tr|A0A0J9R2L3|A0A0J9R2L3_DROSI	
N_2259._tr|A0A0J9RR66|A0A0J9RR66_DROSI	GO:0016020
N_2260._tr|B4QXQ5|B4QXQ5_DROSI	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2261._tr|B4R717|B4R717_DROSI	
N_2262._tr|B4NVI1|B4NVI1_DROSI	
N_2263._tr|A0A0U3KR87|A0A0U3KR87_DROSI	GO:0042742	GO:0005576
N_2264._tr|B4QC40|B4QC40_DROSI	GO:0005507	GO:0016491
N_2265._tr|B4R727|B4R727_DROSI	GO:0032324
N_2266._tr|A0A0J9R7V9|A0A0J9R7V9_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_2267._tr|B4QYJ1|B4QYJ1_DROSI	GO:0000166	GO:0004812	GO:0005524	GO:0006418
N_2268._tr|A0A0J9TLW4|A0A0J9TLW4_DROSI	GO:0004252	GO:0016021	GO:0016021
N_2269._tr|E7BBT1|E7BBT1_DROSI	GO:0005179	GO:0005576
N_2270._tr|B4Q885|B4Q885_DROSI	
N_2271._tr|B4NT53|B4NT53_DROSI	GO:0003677	GO:0006383	GO:0005666
N_2272._tr|A0A3S5ZXW7|A0A3S5ZXW7_DROSI	GO:0003723	GO:0009982	GO:0001522	GO:0009451
N_2273._tr|I7C5I3|I7C5I3_DROSI	GO:0003677	GO:0006313	GO:0015074
N_2274._tr|F6JGA3|F6JGA3_DROSI	
N_2275._sp|P67807|A70A_DROSI	GO:0005179	GO:0046008	GO:0005576
N_2276._tr|A0A0J9RID4|A0A0J9RID4_DROSI	GO:0016787	GO:0003824
N_2277._tr|A0A0J9QXU7|A0A0J9QXU7_DROSI	
N_2278._tr|A0A0J9RE52|A0A0J9RE52_DROSI	GO:0006103	GO:0009353
N_2279._tr|A0A0J9RED2|A0A0J9RED2_DROSI	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017	GO:0005515
N_2280._tr|A0A0J9RAS8|A0A0J9RAS8_DROSI	GO:0005085	GO:0032012
N_2281._tr|B4QWD5|B4QWD5_DROSI	
N_2282._tr|A0A0J9R682|A0A0J9R682_DROSI	GO:0005507	GO:0016491	GO:0005507
N_2283._tr|B4QJX8|B4QJX8_DROSI	GO:0000062
N_2284._tr|B4R642|B4R642_DROSI	GO:0005524	GO:0005524	GO:0016887
N_2285._tr|A0A0J9UGK7|A0A0J9UGK7_DROSI	GO:0003700	GO:0006355	GO:0003700	GO:0006355
N_2286._tr|D7F897|D7F897_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_2287._tr|B4NVA6|B4NVA6_DROSI	
N_2288._tr|B4R389|B4R389_DROSI	
N_2289._tr|B4Q838|B4Q838_DROSI	GO:0016757
N_2290._tr|B4NTY2|B4NTY2_DROSI	GO:0005515	GO:0005515
N_2291._tr|B4R4N5|B4R4N5_DROSI	
N_2292._tr|B4QEU2|B4QEU2_DROSI	
N_2293._tr|B4Q608|B4Q608_DROSI	GO:0006260	GO:0005634	GO:0043625
N_2294._tr|B4QQB9|B4QQB9_DROSI	GO:0005515
N_2295._tr|B4R7N8|B4R7N8_DROSI	GO:0022857	GO:0055085
N_2296._tr|A2TDZ2|A2TDZ2_DROSI	GO:0005743	GO:0005751
N_2297._tr|A0A0J9RF12|A0A0J9RF12_DROSI	GO:0004930	GO:0007186	GO:0016021
N_2298._sp|B4QSF0|SPAST_DROSI	GO:0005524	GO:0016887	GO:0009378	GO:0006281	GO:0006310
N_2299._tr|B4Q6D9|B4Q6D9_DROSI	GO:0006352	GO:0005669
N_2300._tr|A0A0J9R7F0|A0A0J9R7F0_DROSI	GO:0005507	GO:0016491	GO:0005507
N_2301._tr|A0A0J9TWB7|A0A0J9TWB7_DROSI	GO:0004930	GO:0007186	GO:0004930	GO:0007186	GO:0016021
N_2302._tr|A0A3Q7YLG0|A0A3Q7YLG0_DROSI	GO:0008270	GO:0005634
N_2303._tr|A0A0J9RB33|A0A0J9RB33_DROSI	
N_2304._tr|B4Q6E8|B4Q6E8_DROSI	
N_2305._tr|A0A0J9TUM0|A0A0J9TUM0_DROSI	GO:0005515
N_2306._tr|B4QQG6|B4QQG6_DROSI	GO:0004252	GO:0006508
N_2307._tr|B4QUT4|B4QUT4_DROSI	
N_2308._tr|B4Q7T3|B4Q7T3_DROSI	
N_2309._tr|B4R7K3|B4R7K3_DROSI	
N_2310._tr|B4R613|B4R613_DROSI	
N_2311._tr|A0A0J9UEX9|A0A0J9UEX9_DROSI	GO:0003723
N_2312._tr|A0A0J9RVC2|A0A0J9RVC2_DROSI	
N_2313._tr|A0A0J9TVG0|A0A0J9TVG0_DROSI	
N_2314._tr|A0A0J9RMK3|A0A0J9RMK3_DROSI	GO:0005515	GO:0005515	GO:0005515
N_2315._tr|B4QJI0|B4QJI0_DROSI	GO:0008270	GO:0005634
N_2316._tr|Q9NGG8|Q9NGG8_DROSI	GO:0004842	GO:0003723
N_2317._tr|A0A0J9QUB6|A0A0J9QUB6_DROSI	GO:0030246
N_2318._tr|Q2XY60|Q2XY60_DROSI	GO:0005515
N_2319._tr|B4NSP7|B4NSP7_DROSI	GO:0005515
N_2320._tr|F6JGN0|F6JGN0_DROSI	GO:0046872
N_2321._tr|A0A0J9RQK4|A0A0J9RQK4_DROSI	GO:0043015
N_2322._tr|D7F8U7|D7F8U7_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_2323._tr|A0A0J9QUE8|A0A0J9QUE8_DROSI	GO:0003924	GO:0005525
N_2324._tr|B4NV61|B4NV61_DROSI	
N_2325._tr|B4QE06|B4QE06_DROSI	GO:0016972
N_2326._tr|B4QI62|B4QI62_DROSI	
N_2327._tr|F6JJH0|F6JJH0_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2328._tr|B4R1H2|B4R1H2_DROSI	
N_2329._tr|B4QY06|B4QY06_DROSI	GO:0003723	GO:0003723
N_2330._tr|B4QE65|B4QE65_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_2331._tr|A0A0J9RQS3|A0A0J9RQS3_DROSI	GO:0003700	GO:0006355	GO:0003677	GO:0006355	GO:0003700	GO:0006355
N_2332._tr|A0A0J9U971|A0A0J9U971_DROSI	
N_2333._tr|B4R4I1|B4R4I1_DROSI	GO:0003700	GO:0045893
N_2334._tr|B4QUK7|B4QUK7_DROSI	GO:0008194	GO:0016758
N_2335._tr|B4Q7R8|B4Q7R8_DROSI	
N_2336._tr|A5XCX1|A5XCX1_DROSI	GO:0051287	GO:0016620
N_2337._tr|A0A0J9R735|A0A0J9R735_DROSI	GO:0005524	GO:0005524	GO:0016887
N_2338._tr|B4QD19|B4QD19_DROSI	GO:0008270	GO:0005634
N_2339._tr|B4QBL8|B4QBL8_DROSI	
N_2340._tr|A0A0J9S0G6|A0A0J9S0G6_DROSI	GO:0005507
N_2341._tr|A0A0J9RZR0|A0A0J9RZR0_DROSI	GO:0003700	GO:0008270	GO:0043565	GO:0006355
N_2342._tr|B4R0E1|B4R0E1_DROSI	
N_2343._tr|A0A0J9TF92|A0A0J9TF92_DROSI	GO:0005515	GO:0005515	GO:0003993	GO:0046872
N_2344._tr|B4QN44|B4QN44_DROSI	GO:0009190	GO:0035556
N_2345._tr|B4QMG0|B4QMG0_DROSI	GO:0003824	GO:0009058
N_2346._tr|B4QWG7|B4QWG7_DROSI	GO:0065003	GO:0005739
N_2347._tr|A0A0J9RGY8|A0A0J9RGY8_DROSI	GO:0003700	GO:0043565	GO:0006355	GO:0043565	GO:0006355	GO:0003677	GO:0003700	GO:0006355
N_2348._tr|A0A0J9R1L4|A0A0J9R1L4_DROSI	
N_2349._tr|A0A3Q7YLW0|A0A3Q7YLW0_DROSI	
N_2350._tr|B4R4V9|B4R4V9_DROSI	GO:0035556
N_2351._tr|Q68B02|Q68B02_DROSI	GO:0008527	GO:0050912	GO:0016021	GO:0050909	GO:0016021
N_2352._tr|A0A0J9R257|A0A0J9R257_DROSI	GO:0003723
N_2353._tr|B4QFD5|B4QFD5_DROSI	
N_2354._tr|B4QSX3|B4QSX3_DROSI	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_2355._tr|B4QLJ5|B4QLJ5_DROSI	GO:0016592
N_2356._tr|A0A0J9RVW3|A0A0J9RVW3_DROSI	GO:0006811	GO:0016021	GO:0005230	GO:0006811	GO:0016021
N_2357._tr|A0A0J9TVN9|A0A0J9TVN9_DROSI	GO:0006464
N_2358._tr|B4NT64|B4NT64_DROSI	
N_2359._tr|A0A0J9RAX3|A0A0J9RAX3_DROSI	
N_2360._tr|B4QCP2|B4QCP2_DROSI	GO:0004222	GO:0006508
N_2361._tr|B4QA35|B4QA35_DROSI	GO:0006464
N_2362._tr|B4QNM9|B4QNM9_DROSI	GO:0035091	GO:0005515	GO:0005515
N_2363._tr|A0A0J9S0Q1|A0A0J9S0Q1_DROSI	GO:0007165
N_2364._tr|B4Q7C0|B4Q7C0_DROSI	
N_2365._tr|B4QJ68|B4QJ68_DROSI	GO:0005515
N_2366._tr|B4R747|B4R747_DROSI	GO:0005789	GO:0005509
N_2367._tr|B4Q714|B4Q714_DROSI	GO:0005515
N_2368._tr|A0A0J9RLQ2|A0A0J9RLQ2_DROSI	GO:0003723	GO:0003723
N_2369._tr|B4NS35|B4NS35_DROSI	
N_2370._sp|B4R089|PTC71_DROSI	GO:0004722	GO:0004722
N_2371._tr|B4NTC8|B4NTC8_DROSI	
N_2372._tr|B4QSW2|B4QSW2_DROSI	GO:0003854	GO:0016616	GO:0006694
N_2373._tr|B4QBA1|B4QBA1_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_2374._tr|A0A0J9R7C0|A0A0J9R7C0_DROSI	GO:0003676	GO:0005524	GO:0004386
N_2375._tr|B4QB93|B4QB93_DROSI	GO:0003735	GO:0006412	GO:0005840
N_2376._tr|B4R595|B4R595_DROSI	GO:0005515
N_2377._tr|B4QQP8|B4QQP8_DROSI	GO:0008061	GO:0005576
N_2378._tr|A0A0J9RGL4|A0A0J9RGL4_DROSI	GO:0005515	GO:0005737	GO:0005515	GO:0005515
N_2379._tr|A0A0J9RNC5|A0A0J9RNC5_DROSI	
N_2380._tr|B4Q6B6|B4Q6B6_DROSI	GO:0003677	GO:0006355
N_2381._tr|B4R2A7|B4R2A7_DROSI	
N_2382._tr|B4QIE3|B4QIE3_DROSI	GO:0022857	GO:0055085
N_2383._tr|B4QAB8|B4QAB8_DROSI	GO:0005515	GO:0070122	GO:0140492
N_2384._tr|B4QEN1|B4QEN1_DROSI	GO:0003712	GO:0006357	GO:0016592
N_2385._tr|A0A0J9U2M6|A0A0J9U2M6_DROSI	GO:0051262	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_2386._tr|A0A0J9UH34|A0A0J9UH34_DROSI	GO:0005515
N_2387._tr|B4QT56|B4QT56_DROSI	
N_2388._tr|Q2XYL0|Q2XYL0_DROSI	GO:0015078	GO:0015986	GO:0000276
N_2389._tr|A0A0J9R892|A0A0J9R892_DROSI	
N_2390._tr|B4QXT0|B4QXT0_DROSI	GO:0004867
N_2391._tr|B4Q8V1|B4Q8V1_DROSI	GO:0046983
N_2392._tr|A0A0J9TWU1|A0A0J9TWU1_DROSI	GO:0004252	GO:0006508
N_2393._tr|B4QWG4|B4QWG4_DROSI	GO:0003854	GO:0016616	GO:0006694
N_2394._tr|A0A0J9RSS4|A0A0J9RSS4_DROSI	GO:0005524	GO:0140658	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_2395._tr|B4Q454|B4Q454_DROSI	GO:0006629
N_2396._tr|A0A0J9RXQ8|A0A0J9RXQ8_DROSI	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016021
N_2397._tr|B4R2R8|B4R2R8_DROSI	
N_2398._tr|B4QBS3|B4QBS3_DROSI	
N_2399._tr|B4QHT3|B4QHT3_DROSI	GO:0009922	GO:0016021
N_2400._tr|B4QE69|B4QE69_DROSI	
N_2401._tr|A0A0J9TMI7|A0A0J9TMI7_DROSI	GO:0003824	GO:0009058	GO:0003919	GO:0009231
N_2402._tr|Q58SG8|Q58SG8_DROSI	GO:0016020
N_2403._tr|B4QG68|B4QG68_DROSI	GO:0008745	GO:0009253
N_2404._tr|A0A0J9U023|A0A0J9U023_DROSI	GO:0008484
N_2405._tr|A0A0J9TQQ0|A0A0J9TQQ0_DROSI	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_2406._tr|A0A0J9QW07|A0A0J9QW07_DROSI	GO:0008017	GO:0031122
N_2407._tr|B4QCB0|B4QCB0_DROSI	
N_2408._tr|Q6R243|Q6R243_DROSI	GO:0008137	GO:0006120
N_2409._tr|B4R5B7|B4R5B7_DROSI	
N_2410._tr|B4QX36|B4QX36_DROSI	GO:0003824
N_2411._tr|A0A0J9RUJ9|A0A0J9RUJ9_DROSI	GO:0003723
N_2412._tr|A0A0J9UIU9|A0A0J9UIU9_DROSI	
N_2413._tr|B4QT95|B4QT95_DROSI	GO:0022857	GO:0055085	GO:0016020
N_2414._tr|Q9N6H0|Q9N6H0_DROSI	GO:0015074
N_2415._tr|A0A0J9QWR8|A0A0J9QWR8_DROSI	GO:0070569
N_2416._tr|A0A0J9RE92|A0A0J9RE92_DROSI	GO:0003854	GO:0016616	GO:0006694
N_2417._tr|A0A0J9RCG3|A0A0J9RCG3_DROSI	GO:0008168
N_2418._tr|B4QC37|B4QC37_DROSI	GO:0004722
N_2419._tr|A0A0J9TFR0|A0A0J9TFR0_DROSI	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016021	GO:0015105	GO:0015700	GO:0016021
N_2420._tr|A0A0J9RAB2|A0A0J9RAB2_DROSI	GO:0055085	GO:0016021
N_2421._tr|B4NVZ0|B4NVZ0_DROSI	GO:0003677
N_2422._tr|B4QN65|B4QN65_DROSI	
N_2423._tr|B4QQI6|B4QQI6_DROSI	GO:0005515	GO:0005515	GO:0005515
N_2424._tr|B4QM28|B4QM28_DROSI	
N_2425._tr|B4R298|B4R298_DROSI	GO:0003677
N_2426._tr|B4Q889|B4Q889_DROSI	GO:0003723	GO:0003735	GO:0006412	GO:0005840	GO:0003735	GO:0006412	GO:0005840
N_2427._tr|Q6R811|Q6R811_DROSI	GO:0003824	GO:0003824
N_2428._tr|A0A0J9RD27|A0A0J9RD27_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_2429._tr|D7F9T7|D7F9T7_DROSI	GO:0008527	GO:0050912	GO:0016021	GO:0050909	GO:0016021
N_2430._tr|Q5R295|Q5R295_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_2431._tr|A0A0J9R2X9|A0A0J9R2X9_DROSI	GO:0004252	GO:0006508
N_2432._tr|B4QAT7|B4QAT7_DROSI	GO:0004930	GO:0004930	GO:0007186	GO:0016021
N_2433._tr|A0ZWW1|A0ZWW1_DROSI	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_2434._tr|B4QSB6|B4QSB6_DROSI	GO:0016012	GO:0016021
N_2435._tr|B4QIG8|B4QIG8_DROSI	GO:0003723	GO:0003723	GO:0003676	GO:0006355
N_2436._tr|A0A0J9RL18|A0A0J9RL18_DROSI	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_2437._tr|A0A0J9R005|A0A0J9R005_DROSI	GO:0003677	GO:0006355	GO:0003677
N_2438._tr|Q9MGL0|Q9MGL0_DROSI	GO:0004129	GO:0016020
N_2439._tr|B4Q4C8|B4Q4C8_DROSI	GO:0003700	GO:0008270	GO:0043565	GO:0006355
N_2440._tr|A0A0J9RXX5|A0A0J9RXX5_DROSI	GO:0008146	GO:0016021
N_2441._tr|A0A0J9RPD3|A0A0J9RPD3_DROSI	GO:0005886	GO:0016021
N_2442._tr|B4Q5Z4|B4Q5Z4_DROSI	
N_2443._tr|A0A075BJ95|A0A075BJ95_DROSI	GO:0005515	GO:0003676
N_2444._tr|A0A0J9URM5|A0A0J9URM5_DROSI	GO:0005096
N_2445._tr|A0A0J9R8R1|A0A0J9R8R1_DROSI	
N_2446._tr|B4R6N8|B4R6N8_DROSI	GO:0003677
N_2447._tr|A0A0J9QXR4|A0A0J9QXR4_DROSI	GO:0008236	GO:0006508	GO:0016787
N_2448._tr|A0A0J9QXL9|A0A0J9QXL9_DROSI	GO:0003774	GO:0005524	GO:0016459	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2449._tr|A0A0J9RGH2|A0A0J9RGH2_DROSI	
N_2450._tr|A0A0J9R1J5|A0A0J9R1J5_DROSI	GO:0004222	GO:0006508
N_2451._tr|B4R4W4|B4R4W4_DROSI	
N_2452._tr|B4R3H6|B4R3H6_DROSI	
N_2453._tr|B4QWH6|B4QWH6_DROSI	
N_2454._tr|B4QPH4|B4QPH4_DROSI	GO:0006506	GO:0016021
N_2455._tr|A0A0J9RM10|A0A0J9RM10_DROSI	GO:0007154	GO:0016020
N_2456._tr|B4QUP2|B4QUP2_DROSI	GO:0005515
N_2457._tr|B4Q9A1|B4Q9A1_DROSI	GO:0046923	GO:0006621	GO:0016021
N_2458._tr|B4QXY9|B4QXY9_DROSI	GO:0008270	GO:0005634
