N_1._tr|B4JFW9|B4JFW9_DROGR	GO:0005509
N_1616._tr|B4JQ28|B4JQ28_DROGR	
N_1617._tr|B4J649|B4J649_DROGR	GO:0005515
N_1618._tr|B4IY75|B4IY75_DROGR	GO:0003723
N_1619._tr|B4JZ49|B4JZ49_DROGR	GO:0003677	GO:0006334	GO:0000786
N_1620._tr|B4K004|B4K004_DROGR	
N_1621._tr|B4JFE6|B4JFE6_DROGR	GO:0008661	GO:0016114	GO:0016624
N_1622._tr|B4K3S4|B4K3S4_DROGR	GO:0003677	GO:0071821	GO:0006352
N_1623._tr|B4J573|B4J573_DROGR	GO:0006396	GO:0005634	GO:0005515
N_1624._tr|B4JUY1|B4JUY1_DROGR	
N_1625._tr|B4J386|B4J386_DROGR	GO:0005743	GO:0005751
N_1626._tr|B4J075|B4J075_DROGR	GO:0051603	GO:0005839
N_1627._tr|B4J9R4|B4J9R4_DROGR	GO:0003700	GO:0008270	GO:0043565	GO:0006355
N_1628._tr|B4J522|B4J522_DROGR	
N_1629._tr|B4JQ77|B4JQ77_DROGR	GO:0016787
N_1630._tr|B4J5U9|B4J5U9_DROGR	GO:0003924	GO:0005525	GO:0005525	GO:0005525
N_1631._tr|B4J2C8|B4J2C8_DROGR	GO:0004867
N_1632._tr|B4JRB1|B4JRB1_DROGR	GO:0046983
N_1633._tr|B4K2C8|B4K2C8_DROGR	
N_1634._tr|B4K1H4|B4K1H4_DROGR	GO:0008270	GO:0005634
N_1635._tr|B4JDX8|B4JDX8_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_1636._tr|B4JZ50|B4JZ50_DROGR	GO:0003677	GO:0006352	GO:0005669
N_1637._tr|B4JGR2|B4JGR2_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_1638._tr|B4JF57|B4JF57_DROGR	GO:0004725	GO:0006470	GO:0008138	GO:0016311
N_1639._tr|B4IZ45|B4IZ45_DROGR	
N_1640._tr|B4JZA0|B4JZA0_DROGR	
N_1641._tr|B4JN73|B4JN73_DROGR	
N_1642._tr|B4JD73|B4JD73_DROGR	
N_1643._tr|B4K0M3|B4K0M3_DROGR	GO:0005515
N_1644._tr|B4JU45|B4JU45_DROGR	
N_1645._tr|B4JCN1|B4JCN1_DROGR	GO:0005524
N_1646._tr|B4J9Q9|B4J9Q9_DROGR	GO:0016787
N_1647._tr|B4JG31|B4JG31_DROGR	
N_1648._tr|B4J674|B4J674_DROGR	GO:0003735	GO:0006412	GO:0005840
N_1649._tr|B4JC89|B4JC89_DROGR	
N_1650._tr|B4J8P4|B4J8P4_DROGR	
N_1651._tr|B4IWP6|B4IWP6_DROGR	
N_1652._tr|B4JBX5|B4JBX5_DROGR	
N_1653._tr|B4J3E6|B4J3E6_DROGR	
N_1654._tr|B4JU29|B4JU29_DROGR	
N_1655._tr|B4JGU3|B4JGU3_DROGR	
N_1656._tr|B4JYH8|B4JYH8_DROGR	GO:0016671
N_1657._tr|B4JRQ6|B4JRQ6_DROGR	GO:0022857	GO:0055085
N_1658._tr|B4J347|B4J347_DROGR	
N_1659._tr|B4J9H5|B4J9H5_DROGR	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_1660._tr|B4JYJ8|B4JYJ8_DROGR	GO:0005509	GO:0051082	GO:0006457	GO:0005783
N_1661._tr|B4IY44|B4IY44_DROGR	
N_1662._tr|B4JNN2|B4JNN2_DROGR	GO:0004222	GO:0006508	GO:0006508
N_1663._tr|B4K2I9|B4K2I9_DROGR	
N_1664._tr|B4J5R4|B4J5R4_DROGR	
N_1665._tr|B4JSA1|B4JSA1_DROGR	
N_1666._tr|B4JUK6|B4JUK6_DROGR	
N_1667._tr|B4J6L5|B4J6L5_DROGR	GO:0005515
N_1668._tr|B4J664|B4J664_DROGR	
N_1669._tr|B4JJM4|B4JJM4_DROGR	GO:0005634
N_1670._tr|B4J8A2|B4J8A2_DROGR	GO:0006364	GO:0032040	GO:0005515
N_1671._tr|B4K1B4|B4K1B4_DROGR	
N_1672._tr|B4JIQ7|B4JIQ7_DROGR	
N_1673._tr|B4JNR2|B4JNR2_DROGR	GO:0005515
N_1674._tr|B4JEW0|B4JEW0_DROGR	GO:0016747
N_1675._tr|B4JTY4|B4JTY4_DROGR	
N_1676._tr|B4J779|B4J779_DROGR	GO:0071985	GO:0000814
N_1677._tr|B4JS68|B4JS68_DROGR	GO:0071858	GO:0045823
N_1678._tr|B4J084|B4J084_DROGR	GO:0005515	GO:0005515	GO:0005515
N_1679._tr|B4IZB0|B4IZB0_DROGR	GO:0005515
N_1680._tr|B4JNL2|B4JNL2_DROGR	GO:0016020
N_1681._tr|B4JH07|B4JH07_DROGR	
N_1682._tr|B4IWR3|B4IWR3_DROGR	GO:0016788	GO:0006397	GO:0016787
N_1683._tr|B4J060|B4J060_DROGR	
N_1684._tr|B4JRF5|B4JRF5_DROGR	GO:0003910	GO:0005524	GO:0006281	GO:0006310	GO:0003677	GO:0003910	GO:0006281	GO:0006310	GO:0003910	GO:0006281	GO:0006310
N_1685._tr|B4JAV7|B4JAV7_DROGR	
N_1686._tr|B4IX75|B4IX75_DROGR	GO:0008270	GO:0005634
N_1687._tr|B4K242|B4K242_DROGR	
N_1688._tr|B4K2M6|B4K2M6_DROGR	GO:0008237	GO:0008270
N_1689._tr|B4JBL4|B4JBL4_DROGR	GO:0003677	GO:0006355	GO:0003677	GO:0006355	GO:0003677
N_1690._tr|B4J2P5|B4J2P5_DROGR	GO:0015078	GO:0015986	GO:0000276
N_1691._tr|B4J8V1|B4J8V1_DROGR	
N_1692._tr|B4IY18|B4IY18_DROGR	GO:0003723	GO:0006397	GO:0005634	GO:0005737
N_1693._tr|B4JZ03|B4JZ03_DROGR	GO:0008236	GO:0006508
N_1694._tr|B4IYK1|B4IYK1_DROGR	GO:0008083
N_1695._tr|B4JU09|B4JU09_DROGR	GO:0004252	GO:0006508
N_1696._tr|B4JTX1|B4JTX1_DROGR	
N_1697._tr|B4JN19|B4JN19_DROGR	GO:0005549
N_1698._tr|B4JTM7|B4JTM7_DROGR	GO:0008237	GO:0008270
N_1699._tr|B4JGS8|B4JGS8_DROGR	GO:0005515
N_1700._tr|B4K3X4|B4K3X4_DROGR	GO:0005272	GO:0006814	GO:0016020
N_1701._tr|B4JKV0|B4JKV0_DROGR	GO:0005509	GO:0005509	GO:0005515	GO:0004553	GO:0000272	GO:0005509	GO:0005509	GO:0005509
N_1702._tr|B4JFC4|B4JFC4_DROGR	GO:0004146	GO:0046654
N_1703._tr|A0A0A0MMS4|A0A0A0MMS4_DROGR	GO:0007166	GO:0016020
N_1704._tr|B4IYC2|B4IYC2_DROGR	
N_1705._tr|B4K0F8|B4K0F8_DROGR	GO:0003824	GO:0043169	GO:0005975	GO:0005975	GO:0004553	GO:0005975
N_1706._tr|B4J5T2|B4J5T2_DROGR	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_1707._tr|B4JG93|B4JG93_DROGR	GO:0005524	GO:0016887	GO:0005524	GO:0005524	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887
N_1708._tr|B4JCD3|B4JCD3_DROGR	
N_1709._tr|B4JKJ2|B4JKJ2_DROGR	GO:0004930	GO:0007186	GO:0016021
N_1710._tr|B4JBF0|B4JBF0_DROGR	GO:0003677	GO:0006355	GO:0003677
N_1711._tr|B4JFG8|B4JFG8_DROGR	
N_1712._tr|B4JRZ3|B4JRZ3_DROGR	
N_1713._tr|B4JLQ3|B4JLQ3_DROGR	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017
N_1714._tr|B4J0V0|B4J0V0_DROGR	
N_1715._tr|B4JGY8|B4JGY8_DROGR	GO:0008270	GO:0005634
N_1716._tr|B4IWL4|B4IWL4_DROGR	
N_1717._tr|B4J9M0|B4J9M0_DROGR	
N_1718._tr|B4J0K3|B4J0K3_DROGR	
N_1719._tr|B4K148|B4K148_DROGR	
N_1720._tr|B4IZY7|B4IZY7_DROGR	GO:0016192	GO:0030008	GO:0006888
N_1721._tr|D6NTA3|D6NTA3_DROGR	GO:0004129	GO:0020037	GO:0009060	GO:0016021
N_1722._tr|B4JL26|B4JL26_DROGR	GO:0015165	GO:0090481	GO:0000139	GO:0016021	GO:0055085
N_1723._tr|B4JBJ4|B4JBJ4_DROGR	GO:0003774	GO:0005524	GO:0016459	GO:0003774	GO:0005524	GO:0016459	GO:0016459
N_1724._tr|B4JDV9|B4JDV9_DROGR	
N_1725._tr|B4JHK0|B4JHK0_DROGR	
N_1726._tr|B4JN12|B4JN12_DROGR	GO:0004725	GO:0006470	GO:0008138	GO:0016311
N_1727._tr|B4JMN2|B4JMN2_DROGR	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_1728._tr|B4JCZ1|B4JCZ1_DROGR	GO:0008237	GO:0008241	GO:0006508	GO:0016020
N_1729._tr|B4JSC8|B4JSC8_DROGR	GO:0005484	GO:0006890
N_1730._tr|B4JMC4|B4JMC4_DROGR	
N_1731._tr|B4IYM6|B4IYM6_DROGR	GO:0006886	GO:0016192	GO:0005515	GO:0005198	GO:0006886	GO:0016192	GO:0030117
N_1732._tr|B4JF63|B4JF63_DROGR	GO:0008237	GO:0008270
N_1733._tr|B4IYR1|B4IYR1_DROGR	
N_1734._tr|B4JI51|B4JI51_DROGR	GO:0003677
N_1735._tr|B4J1R8|B4J1R8_DROGR	GO:0005509	GO:0005509	GO:0007156	GO:0016020
N_1736._tr|B4J572|B4J572_DROGR	GO:0006275
N_1737._tr|B4IZB7|B4IZB7_DROGR	GO:0030431	GO:0032222	GO:1903818
N_1738._tr|B4J6R3|B4J6R3_DROGR	GO:0005509	GO:0005509	GO:0005509
N_1739._tr|B4J4B0|B4J4B0_DROGR	
N_1740._tr|B4IZI0|B4IZI0_DROGR	GO:0000062
N_1741._tr|B4JB50|B4JB50_DROGR	GO:0008093	GO:0070840
N_1742._tr|B4J855|B4J855_DROGR	
N_1743._sp|B4JDZ5|PDE6D_DROGR	
N_1744._tr|B4JYX7|B4JYX7_DROGR	
N_1745._tr|B4K2Q4|B4K2Q4_DROGR	GO:0008270	GO:0005634
N_1746._tr|B4JIX1|B4JIX1_DROGR	
N_1747._tr|B4J678|B4J678_DROGR	
N_1748._tr|B4JYX6|B4JYX6_DROGR	GO:0008270	GO:0005634
N_1749._tr|B4J4I2|B4J4I2_DROGR	GO:0008373	GO:0006486
N_1750._tr|B4IWM7|B4IWM7_DROGR	
N_1751._tr|B4JZ11|B4JZ11_DROGR	
N_1752._tr|B4JHI9|B4JHI9_DROGR	GO:0008237	GO:0008270
N_1753._tr|B4JM52|B4JM52_DROGR	
N_1754._tr|B4JZ20|B4JZ20_DROGR	GO:0005515
N_1755._tr|B4JPY1|B4JPY1_DROGR	
N_1756._tr|B4JA09|B4JA09_DROGR	GO:0009922	GO:0016021
N_1757._tr|B4JR57|B4JR57_DROGR	
N_1758._tr|B4JMJ7|B4JMJ7_DROGR	
N_1759._tr|B4IZV2|B4IZV2_DROGR	GO:0016298
N_1760._tr|B4J2T6|B4J2T6_DROGR	
N_1761._tr|B4IY36|B4IY36_DROGR	
N_1762._tr|B4IWY9|B4IWY9_DROGR	
N_1763._sp|B4JSC2|FOXO_DROGR	GO:0003700	GO:0043565	GO:0006355
N_1764._tr|B4JS19|B4JS19_DROGR	
N_1765._tr|B4JFG3|B4JFG3_DROGR	
N_1766._tr|B4JRQ9|B4JRQ9_DROGR	
N_1767._tr|B4JME3|B4JME3_DROGR	GO:0016747
N_1768._tr|B4IZU2|B4IZU2_DROGR	
N_1769._tr|B4JLJ9|B4JLJ9_DROGR	
N_1770._tr|B4JSC7|B4JSC7_DROGR	GO:0005515	GO:0002098	GO:0033588
N_1771._tr|B4JI71|B4JI71_DROGR	GO:0031072	GO:0051082
N_1772._tr|B4JA25|B4JA25_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_1773._tr|B4JRE6|B4JRE6_DROGR	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_1774._tr|B4JL18|B4JL18_DROGR	GO:0005515	GO:0005515	GO:0005515
N_1775._tr|B4JA48|B4JA48_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_1776._tr|B4IXP0|B4IXP0_DROGR	GO:0005524	GO:0140658	GO:0016575	GO:0070823	GO:0003677	GO:0006338	GO:0003677	GO:0005524	GO:0016787
N_1777._tr|B4IYQ9|B4IYQ9_DROGR	GO:0008251	GO:0002100
N_1778._tr|B4JSK8|B4JSK8_DROGR	GO:0005515
N_1779._sp|B4JYN3|FOSL_DROGR	GO:0003700	GO:0006355	GO:0003677	GO:0006355	GO:0003700	GO:0006355
N_1780._tr|B4JRI5|B4JRI5_DROGR	
N_1781._tr|B4IXH1|B4IXH1_DROGR	GO:0003774	GO:0005524	GO:0016459	GO:0005515	GO:0003774	GO:0016459
N_1782._tr|B4J752|B4J752_DROGR	
N_1783._tr|B4IZL2|B4IZL2_DROGR	GO:0001401
N_1784._tr|B4JPE7|B4JPE7_DROGR	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_1785._tr|B4JE35|B4JE35_DROGR	GO:0003723	GO:0005515
N_1786._tr|B4JA43|B4JA43_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0044877
N_1787._tr|B4IZY6|B4IZY6_DROGR	
N_1788._tr|B4JF86|B4JF86_DROGR	
N_1789._tr|B4JCW6|B4JCW6_DROGR	GO:0003924	GO:0005525	GO:0005524	GO:0140664	GO:0005524	GO:0016301	GO:0002949	GO:0005524	GO:0016887
N_1790._tr|B4IZ91|B4IZ91_DROGR	
N_1791._tr|B4JXC4|B4JXC4_DROGR	GO:0016787	GO:0016787	GO:0009166
N_1792._tr|B4JE62|B4JE62_DROGR	
N_1793._tr|B4JG74|B4JG74_DROGR	GO:0016627
N_1794._tr|B4JWD4|B4JWD4_DROGR	
N_1795._tr|B4JQA6|B4JQA6_DROGR	
N_1796._tr|B4JX84|B4JX84_DROGR	
N_1797._tr|B4J1K8|B4J1K8_DROGR	GO:0003723
N_1798._tr|B4J6B6|B4J6B6_DROGR	GO:0008234	GO:0006508	GO:0008234	GO:0006508
N_1799._tr|B4JUL5|B4JUL5_DROGR	GO:0016787
N_1800._tr|B4JVF3|B4JVF3_DROGR	
N_1801._tr|B4J1T2|B4J1T2_DROGR	GO:0004252	GO:0006508
N_1802._tr|B4JP44|B4JP44_DROGR	
N_1803._tr|B4JBB4|B4JBB4_DROGR	
N_1804._tr|B4JTC8|B4JTC8_DROGR	
N_1805._tr|B4J2L8|B4J2L8_DROGR	
N_1806._tr|B4JSU5|B4JSU5_DROGR	GO:0006368	GO:0016570	GO:0016593
N_1807._tr|B4JQ34|B4JQ34_DROGR	
N_1808._tr|B4K024|B4K024_DROGR	
N_1809._tr|B4J9A8|B4J9A8_DROGR	
N_1810._tr|B4JP76|B4JP76_DROGR	GO:0008289
N_1811._tr|B4J0Z5|B4J0Z5_DROGR	GO:0005515
N_1812._tr|B4J320|B4J320_DROGR	
N_1813._tr|B4K074|B4K074_DROGR	GO:0005515	GO:0005515	GO:0005515
N_1814._tr|B4JPR4|B4JPR4_DROGR	
N_1815._tr|B4J9X6|B4J9X6_DROGR	
N_1816._tr|B4IXP8|B4IXP8_DROGR	
N_1817._tr|B4JU73|B4JU73_DROGR	
N_1818._tr|B4JVB4|B4JVB4_DROGR	GO:0005525
N_1819._tr|B4JVB8|B4JVB8_DROGR	
N_1820._tr|B4IZA6|B4IZA6_DROGR	GO:0035091
N_1821._tr|B4JKQ0|B4JKQ0_DROGR	GO:0005515	GO:0005515	GO:0005515
N_1822._tr|B4JI20|B4JI20_DROGR	GO:0006357	GO:0043093	GO:0090529	GO:0005737
N_1823._tr|B4JE65|B4JE65_DROGR	
N_1824._tr|B4JTF4|B4JTF4_DROGR	
N_1825._tr|B4JVR1|B4JVR1_DROGR	GO:0005515
N_1826._tr|B4JN78|B4JN78_DROGR	
N_1827._tr|B4J0T7|B4J0T7_DROGR	GO:0023041	GO:0030867
N_1828._tr|B4K0S2|B4K0S2_DROGR	
N_1829._tr|B4JNE2|B4JNE2_DROGR	GO:0005515
N_1830._tr|B4K3F2|B4K3F2_DROGR	GO:0005515
N_1831._tr|B4JFJ1|B4JFJ1_DROGR	
N_1832._tr|B4JNG9|B4JNG9_DROGR	GO:0016758	GO:0006486	GO:0016020	GO:0016757	GO:0016020
N_1833._tr|B4JKI3|B4JKI3_DROGR	GO:0003723	GO:0006397
N_1834._tr|B4JFS9|B4JFS9_DROGR	GO:0005515
N_1835._tr|B4JB63|B4JB63_DROGR	GO:0005515
N_1836._tr|B4JAW6|B4JAW6_DROGR	GO:0000287	GO:0008193	GO:0006400
N_1837._tr|B4J839|B4J839_DROGR	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_1838._tr|B4IYB8|B4IYB8_DROGR	GO:0005549
N_1839._tr|B4J964|B4J964_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_1840._tr|B4JW40|B4JW40_DROGR	
N_1841._tr|B4J5Y0|B4J5Y0_DROGR	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_1842._tr|B4J0S2|B4J0S2_DROGR	
N_1843._tr|O01649|O01649_DROGR	GO:0005254
N_1844._tr|B4JD92|B4JD92_DROGR	GO:0030431	GO:0032222	GO:1903818
N_1845._tr|B4JP84|B4JP84_DROGR	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525
N_1846._tr|B4JFC6|B4JFC6_DROGR	
N_1847._tr|B4JZN7|B4JZN7_DROGR	
N_1848._tr|B4JRL9|B4JRL9_DROGR	GO:0003676	GO:0005524
N_1849._tr|B4JXC6|B4JXC6_DROGR	GO:0005524
N_1850._tr|B4JTS1|B4JTS1_DROGR	GO:0005515
N_1851._tr|B4JLV5|B4JLV5_DROGR	
N_1852._tr|B4JZT4|B4JZT4_DROGR	GO:0005515
N_1853._tr|B4JDD7|B4JDD7_DROGR	GO:0004618	GO:0006096
N_1854._tr|B4JM31|B4JM31_DROGR	
N_1855._tr|B4J0G6|B4J0G6_DROGR	GO:0055085	GO:0016020	GO:0016021
N_1856._tr|B4JH93|B4JH93_DROGR	
N_1857._tr|B4K3H1|B4K3H1_DROGR	
N_1858._tr|B4JZ27|B4JZ27_DROGR	
N_1859._tr|B4K1A1|B4K1A1_DROGR	
N_1860._tr|B4JUM6|B4JUM6_DROGR	GO:0004252	GO:0006508
N_1861._tr|B4JAE8|B4JAE8_DROGR	
N_1862._tr|B4JHJ6|B4JHJ6_DROGR	
N_1863._tr|B4JHD5|B4JHD5_DROGR	GO:0005515	GO:0046983	GO:0005515
N_1864._tr|B4J4G6|B4J4G6_DROGR	GO:0004725	GO:0006470
N_1865._tr|B4JXB0|B4JXB0_DROGR	GO:0000398
N_1866._tr|B4JS33|B4JS33_DROGR	GO:0008168
N_1867._tr|B4JR54|B4JR54_DROGR	
N_1868._tr|B4JAQ1|B4JAQ1_DROGR	GO:0004843	GO:0006511
N_1869._tr|B4JEK1|B4JEK1_DROGR	GO:0003924	GO:0005525
N_1870._tr|B4JBH2|B4JBH2_DROGR	GO:0003678	GO:0000723	GO:0006281	GO:0005524
N_1871._tr|B4J9U2|B4J9U2_DROGR	
N_1872._tr|B4JHI2|B4JHI2_DROGR	GO:0005524	GO:0016887	GO:0005524	GO:0016887	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887
N_1873._tr|B4IYK5|B4IYK5_DROGR	
N_1874._tr|B4JTA6|B4JTA6_DROGR	
N_1875._tr|B4IYQ5|B4IYQ5_DROGR	GO:0008061	GO:0005576
N_1876._tr|B4JLR2|B4JLR2_DROGR	
N_1877._tr|B4J7I0|B4J7I0_DROGR	GO:0005524
N_1878._tr|A0A0A0MM76|A0A0A0MM76_DROGR	GO:0003746	GO:0006414
N_1879._tr|B4JVI0|B4JVI0_DROGR	
N_1880._tr|B4IZP4|B4IZP4_DROGR	GO:0008168	GO:0008610	GO:0008168	GO:0032259	GO:0008168	GO:0008168
N_1881._tr|B4J7D2|B4J7D2_DROGR	GO:0015267	GO:0055085	GO:0016020
N_1882._tr|B4JZS1|B4JZS1_DROGR	GO:0003700	GO:0043565	GO:0006355
N_1883._tr|B4J7Y9|B4J7Y9_DROGR	GO:0055085	GO:0016020	GO:0022857	GO:0055085
N_1884._tr|B4JZA4|B4JZA4_DROGR	GO:0004842
N_1885._tr|B4J2D2|B4J2D2_DROGR	
N_1886._tr|B4JE98|B4JE98_DROGR	
N_1887._tr|B4J400|B4J400_DROGR	
N_1888._tr|B4JP22|B4JP22_DROGR	GO:0003700	GO:0006355	GO:0003700	GO:0006355
N_1889._tr|B4J8E6|B4J8E6_DROGR	GO:0003824	GO:0008199	GO:0006725
N_1890._tr|B4JIW1|B4JIW1_DROGR	GO:0004252	GO:0006508
N_1891._tr|B4JD90|B4JD90_DROGR	GO:0030431	GO:0032222	GO:1903818
N_1892._tr|B4J2E6|B4J2E6_DROGR	GO:0005509	GO:0005509	GO:0005509
N_1893._tr|B4JAL6|B4JAL6_DROGR	GO:0046983	GO:0003677	GO:0006355
N_1894._tr|B4JDE1|B4JDE1_DROGR	GO:0031267	GO:0006886
N_1895._tr|B4JMK1|B4JMK1_DROGR	GO:0005507	GO:0016531	GO:0005758
N_1896._tr|B4JK66|B4JK66_DROGR	GO:0003735	GO:0006412	GO:0005840
N_1897._tr|B4JPA1|B4JPA1_DROGR	GO:0005525
N_1898._tr|B4K0A9|B4K0A9_DROGR	
N_1899._tr|B4JL61|B4JL61_DROGR	GO:0005272	GO:0006814	GO:0016020
N_1900._tr|B4JB21|B4JB21_DROGR	
N_1901._tr|B4JP99|B4JP99_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_1902._tr|B4JJR4|B4JJR4_DROGR	GO:0003779
N_1903._tr|B4JAK3|B4JAK3_DROGR	GO:0016671
N_1904._tr|B4J7L8|B4J7L8_DROGR	GO:0003735	GO:0006412	GO:0005840
N_1905._tr|B4JQ90|B4JQ90_DROGR	
N_1906._tr|B4JK28|B4JK28_DROGR	
N_1907._tr|B4JAJ8|B4JAJ8_DROGR	GO:0003824
N_1908._tr|B4JLE6|B4JLE6_DROGR	
N_1909._tr|B4IWY0|B4IWY0_DROGR	
N_1910._tr|B4J0V5|B4J0V5_DROGR	GO:0016020
N_1911._tr|B4IXM9|B4IXM9_DROGR	
N_1912._tr|B4K3Q4|B4K3Q4_DROGR	
N_1913._tr|B4JB83|B4JB83_DROGR	
N_1914._tr|B4JIY6|B4JIY6_DROGR	GO:0016021
N_1915._tr|B4JZQ7|B4JZQ7_DROGR	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017
N_1916._tr|B4J7D1|B4J7D1_DROGR	GO:0015267	GO:0055085	GO:0016020
N_1917._tr|B4JYF2|B4JYF2_DROGR	
N_1918._tr|B4JYC2|B4JYC2_DROGR	
N_1919._tr|B4JNW6|B4JNW6_DROGR	GO:0003677
N_1920._tr|B4J056|B4J056_DROGR	
N_1921._tr|B4JQ58|B4JQ58_DROGR	GO:0004867
N_1922._tr|B4JHZ2|B4JHZ2_DROGR	GO:0008270	GO:0005634
N_1923._tr|B4J470|B4J470_DROGR	GO:0003677
N_1924._tr|B4J8X8|B4J8X8_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_1925._tr|B4K1P1|B4K1P1_DROGR	GO:0008234	GO:0006508
N_1926._tr|B4J357|B4J357_DROGR	
N_1927._sp|B4JBE6|NARF_DROGR	
N_1928._tr|B4J7F6|B4J7F6_DROGR	
N_1929._tr|B4K1N3|B4K1N3_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_1930._tr|B4JFY2|B4JFY2_DROGR	
N_1931._tr|B4JU93|B4JU93_DROGR	GO:0016021
N_1932._tr|B4J003|B4J003_DROGR	GO:0004252	GO:0006508
N_1933._tr|B4JD01|B4JD01_DROGR	GO:0006352	GO:0005634
N_1934._tr|B4J447|B4J447_DROGR	
N_1935._tr|B4J517|B4J517_DROGR	GO:0043248
N_1936._tr|B4JPX2|B4JPX2_DROGR	GO:0005515
N_1937._tr|B4JCL4|B4JCL4_DROGR	
N_1938._tr|B4J488|B4J488_DROGR	GO:0008270	GO:0005634
N_1939._tr|B4JWK7|B4JWK7_DROGR	GO:0050909	GO:0016021
N_1940._tr|B4JHV9|B4JHV9_DROGR	GO:0003735	GO:0006412	GO:0005840
N_1941._tr|B4JVS4|B4JVS4_DROGR	GO:0022857	GO:0055085
N_1942._tr|B4JCA2|B4JCA2_DROGR	GO:0008569	GO:0007018	GO:0030286	GO:0005509	GO:0007156	GO:0016020
N_1943._tr|B4JI40|B4JI40_DROGR	GO:0003677	GO:0005886	GO:0016021
N_1944._tr|B4JE15|B4JE15_DROGR	GO:0008484
N_1945._tr|O46217|O46217_DROGR	GO:0051015	GO:0007155
N_1946._tr|B4JZA9|B4JZA9_DROGR	GO:0005515
N_1947._tr|B4JAE4|B4JAE4_DROGR	GO:0005515
N_1948._tr|B4K2K4|B4K2K4_DROGR	
N_1949._tr|B4JS96|B4JS96_DROGR	
N_1950._tr|B4IYJ3|B4IYJ3_DROGR	
N_1951._tr|B4JZF0|B4JZF0_DROGR	GO:0016757	GO:0016020
N_1952._tr|B4JFL6|B4JFL6_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_1953._tr|B4JAX6|B4JAX6_DROGR	GO:0003676	GO:0005524
N_1954._tr|B4JM54|B4JM54_DROGR	GO:0004181	GO:0008270	GO:0006508
N_1955._tr|B4JP29|B4JP29_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_1956._tr|B4JJ60|B4JJ60_DROGR	
N_1957._tr|B4JVE8|B4JVE8_DROGR	GO:0004347	GO:0006094	GO:0006096
N_1958._tr|B4JQA8|B4JQA8_DROGR	GO:0016491
N_1959._tr|B4K309|B4K309_DROGR	GO:0004252	GO:0006508
N_1960._tr|B4J1E9|B4J1E9_DROGR	GO:0003712	GO:0006355	GO:0005634
N_1961._tr|B4J1E3|B4J1E3_DROGR	GO:0005179
N_1962._tr|B4JK56|B4JK56_DROGR	GO:0003677	GO:0003916	GO:0006265
N_1963._tr|B4JL36|B4JL36_DROGR	GO:0016799
N_1964._tr|B4K0C4|B4K0C4_DROGR	
N_1965._tr|B4JJQ4|B4JJQ4_DROGR	
N_1966._tr|B4IYF9|B4IYF9_DROGR	GO:0006886
N_1967._tr|B4J9E9|B4J9E9_DROGR	GO:0004970	GO:0016020	GO:0015276	GO:0016020
N_1968._tr|B4J5W4|B4J5W4_DROGR	GO:0010387	GO:0008180
N_1969._tr|B4IYJ8|B4IYJ8_DROGR	GO:0005085	GO:0005515	GO:0005515
N_1970._tr|B4J6U3|B4J6U3_DROGR	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_1971._tr|B4IZY8|B4IZY8_DROGR	
N_1972._tr|B4JYD4|B4JYD4_DROGR	GO:0003723	GO:0003724	GO:0005524	GO:0016887	GO:0005524	GO:0016887	GO:0005524	GO:0005524	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887	GO:0005524	GO:0016887
N_1973._tr|B4JNT7|B4JNT7_DROGR	GO:0003677	GO:0006355	GO:0003677
N_1974._tr|B4JQZ8|B4JQZ8_DROGR	GO:0003723
N_1975._tr|B4IWV4|B4IWV4_DROGR	GO:0008061	GO:0005576
N_1976._tr|B4JT05|B4JT05_DROGR	GO:0005509	GO:0005509	GO:0005509
